boletin,titulo,origen_iniciativa,codigo_destinacion,comision_destino_sufijo,comision_origen_evento,comision_origen_proxy,origin_proxy_source,origin_proxy_mismatch,tema_proxy_origen,materia_pagina,materias_oficiales,comisiones_tramitacion,temas_proxy_trayectoria,comisiones_sustantivas,ministerios,text_quality,signal_strength,review_reason,origin_evidence_event
18202-06,Rehabilita la nacionalidad chilena a Carlos Javier Araya Labra,parlamentario,06,"Gobierno Interior, Nacionalidad, Ciudadanía y Regionalización",,"Gobierno Interior, Nacionalidad, Ciudadanía y Regionalización",sufijo_boletin,0,Gobierno interior y descentralización,,,"Gobierno Interior, Nacionalidad, Ciudadanía y Regionalización",Gobierno interior y descentralización,"Gobierno Interior, Nacionalidad, Ciudadanía y Regionalización",,rica,alta,,
18203-06,Rehabilita la nacionalidad chilena a Cristóbal Parot Fernández,parlamentario,06,"Gobierno Interior, Nacionalidad, Ciudadanía y Regionalización",,"Gobierno Interior, Nacionalidad, Ciudadanía y Regionalización",sufijo_boletin,0,Gobierno interior y descentralización,,,"Gobierno Interior, Nacionalidad, Ciudadanía y Regionalización",Gobierno interior y descentralización,"Gobierno Interior, Nacionalidad, Ciudadanía y Regionalización",,rica,alta,,
18204-06,Rehabilita la nacionalidad chilena a Blanca Rosa Fernández Peirano,parlamentario,06,"Gobierno Interior, Nacionalidad, Ciudadanía y Regionalización",,"Gobierno Interior, Nacionalidad, Ciudadanía y Regionalización",sufijo_boletin,0,Gobierno interior y descentralización,,,"Gobierno Interior, Nacionalidad, Ciudadanía y Regionalización",Gobierno interior y descentralización,"Gobierno Interior, Nacionalidad, Ciudadanía y Regionalización",,rica,alta,,
18207-06,Rehabilita la nacionalidad chilena a Macarena Ximena Kathia Aguilera Fernández,parlamentario,06,"Gobierno Interior, Nacionalidad, Ciudadanía y Regionalización",,"Gobierno Interior, Nacionalidad, Ciudadanía y Regionalización",sufijo_boletin,0,Gobierno interior y descentralización,,,"Gobierno Interior, Nacionalidad, Ciudadanía y Regionalización",Gobierno interior y descentralización,"Gobierno Interior, Nacionalidad, Ciudadanía y Regionalización",,rica,alta,,
18208-25,"Modifica el Código Procesal Penal, para regular la continuidad del juicio oral y permitir la dictación de sentencia definitiva ante la incomparecencia injustificada del acusado",ejecutivo,25,Seguridad Ciudadana,,Seguridad Ciudadana,sufijo_boletin,0,Seguridad,,,Seguridad Ciudadana,Seguridad,Seguridad Ciudadana,Ministerio de Justicia y de Derechos Humanos | Ministerio de Seguridad Pública,rica,alta,,
18209-04,"Establece requisitos de legalidad, transparencia y auditoría para la ejecución de cobros de créditos educativos con garantía estatal",parlamentario,04,Educación,,Educación,sufijo_boletin,0,Educación,,,Educación,Educación,Educación,,rica,alta,,
18221-11,Garantiza el acceso efectivo a prestaciones de salud en zonas rurales y aisladas mediante la incorporación del principio de pertinencia territorial en la atención primaria municipal,parlamentario,11,Salud,,Salud,sufijo_boletin,0,Salud,,,Salud,Salud,Salud,,rica,alta,,
18210-06,Concede la nacionalidad chilena por gracia al ciudadano uruguayo Pablo Lemoine,parlamentario,06,"Gobierno Interior, Nacionalidad, Ciudadanía y Regionalización",,"Gobierno Interior, Nacionalidad, Ciudadanía y Regionalización",sufijo_boletin,0,Gobierno interior y descentralización,,,"Gobierno Interior, Nacionalidad, Ciudadanía y Regionalización",Gobierno interior y descentralización,"Gobierno Interior, Nacionalidad, Ciudadanía y Regionalización",,rica,alta,,
18212-07,"Modifica el código penal y la ley Nº 20.084, con el objeto de establecer la responsabilidad penal de los padres o guardadores por omisión grave del deber de cuidado",parlamentario,07,"Constitución, Legislación, Justicia y Reglamento",,"Constitución, Legislación, Justicia y Reglamento",sufijo_boletin,0,Constitución y justicia,,,"Constitución, Legislación, Justicia y Reglamento",Constitución y justicia,,,rica,media,origen_transversal,
18220-07,Reforma constitucional que extiende el periodo en el que las autoridades del Gobierno deben comparecer y suministrar antecedentes ante las comisiones especiales investigadoras,parlamentario,07,"Constitución, Legislación, Justicia y Reglamento",,"Constitución, Legislación, Justicia y Reglamento",sufijo_boletin,0,Constitución y justicia,,,"Constitución, Legislación, Justicia y Reglamento",Constitución y justicia,,,rica,media,origen_transversal,
18211-25,"Modifica el código penal, con el objeto de tipificar el delito de ocultamiento de identidad en el contexto de eventos masivos y desórdenes públicos",parlamentario,25,Seguridad Ciudadana,,Seguridad Ciudadana,sufijo_boletin,0,Seguridad,,,Seguridad Ciudadana,Seguridad,Seguridad Ciudadana,,rica,alta,,
18215-10,"Acuerdo de mutua exención del requisito de visa para los titulares de pasaportes diplomáticos, especiales y oficiales entre el Gobierno de la República de Chile y el Gobierno del Estado de Catar",ejecutivo,10,Relaciones Exteriores,,Relaciones Exteriores,sufijo_boletin,0,Relaciones exteriores,,,Relaciones Exteriores,Relaciones exteriores,Relaciones Exteriores,Ministerio de Relaciones Exteriores,rica,alta,,
18216-05,Para la reconstrucción nacional y el desarrollo económico y social,ejecutivo,05,Hacienda,Hacienda,Hacienda,evento_cuenta+sufijo,0,Economía y hacienda,,,Hacienda,Economía y hacienda,,Ministerio de Hacienda,rica,media,origen_transversal,Segundo informe de comisión. Pasa a Comisión de Hacienda
18217-07,"Modifica diversos cuerpos legales, con el objeto de perfeccionar las disposiciones relativas a la persecución penal de la criminalidad organizada y el terrorismo",parlamentario,07,"Constitución, Legislación, Justicia y Reglamento",,"Constitución, Legislación, Justicia y Reglamento",sufijo_boletin,0,Constitución y justicia,,,"Constitución, Legislación, Justicia y Reglamento",Constitución y justicia,,,rica,media,origen_transversal,
18218-25,"Modifica diversos cuerpos legales, en materia de persecución de conductas que afectan la seguridad en espacios públicos o alteran gravemente la convivencia ciudadana",parlamentario,25,Seguridad Ciudadana,,Seguridad Ciudadana,sufijo_boletin,0,Seguridad,,,Seguridad Ciudadana,Seguridad,Seguridad Ciudadana,,rica,alta,,
18219-07,Modifica cuerpos legales que indica para extender el estatuto de protección al denunciante de delitos de corrupción y criminalidad económica,parlamentario,07,"Constitución, Legislación, Justicia y Reglamento",,"Constitución, Legislación, Justicia y Reglamento",sufijo_boletin,0,Constitución y justicia,,,"Constitución, Legislación, Justicia y Reglamento",Constitución y justicia,,,rica,media,origen_transversal,
18222-06,Modifica el régimen jurídico aplicable a la participación de las mujeres en política,parlamentario,06,"Gobierno Interior, Nacionalidad, Ciudadanía y Regionalización",,"Gobierno Interior, Nacionalidad, Ciudadanía y Regionalización",sufijo_boletin,0,Gobierno interior y descentralización,,,"Gobierno Interior, Nacionalidad, Ciudadanía y Regionalización | Mujeres y Equidad de Género",Gobierno interior y descentralización | Mujeres y género,"Gobierno Interior, Nacionalidad, Ciudadanía y Regionalización | Mujeres y Equidad de Género",,rica,alta,trayectoria_multitematica,
18233-07,"Modifica la Carta Fundamental, con el objeto de regular la conducción estratégica del Estado en materias de seguridad",parlamentario,07,"Constitución, Legislación, Justicia y Reglamento",,"Constitución, Legislación, Justicia y Reglamento",sufijo_boletin,0,Constitución y justicia,,,"Constitución, Legislación, Justicia y Reglamento",Constitución y justicia,,,rica,media,origen_transversal,
18223-15,"Establece un régimen transitorio de exención de sanciones para conductores de aplicaciones de transporte remunerado de pasajeros, hasta la entrada en vigencia de la ley N° 21.553",parlamentario,15,Transportes y Telecomunicaciones,,Transportes y Telecomunicaciones,sufijo_boletin,0,Transportes y telecomunicaciones,,,Transportes y Telecomunicaciones,Transportes y telecomunicaciones,Transportes y Telecomunicaciones,,rica,alta,,
18224-18,"Establece un marco integral de protección de niñas, niños y adolescentes en el uso de redes sociales",parlamentario,18,"Familia, Infancia y Adolescencia",,"Familia, Infancia y Adolescencia",sufijo_boletin,0,"Familia, infancia y adolescencia",,,"Familia, Infancia y Adolescencia | Ciencia y Tecnología","Familia, infancia y adolescencia | Ciencia y tecnología","Familia, Infancia y Adolescencia | Ciencia y Tecnología",,rica,alta,trayectoria_multitematica,
18225-07,"Incorpora una disposición transitoria en la Carta Fundamental para establecer una tarifa gratuita para adultos mayores, personas en situación de discapacidad y cuidadores en el transporte público",parlamentario,07,"Constitución, Legislación, Justicia y Reglamento",,"Constitución, Legislación, Justicia y Reglamento",sufijo_boletin,0,Constitución y justicia,,,"Constitución, Legislación, Justicia y Reglamento",Constitución y justicia,,,rica,media,origen_transversal,
18226-15,Autoriza la aplicación de prefijos telefónicos en la identificación de llamadas de cobranza extrajudicial,parlamentario,15,Transportes y Telecomunicaciones,,Transportes y Telecomunicaciones,sufijo_boletin,0,Transportes y telecomunicaciones,,,Transportes y Telecomunicaciones,Transportes y telecomunicaciones,Transportes y Telecomunicaciones,,rica,alta,,
18227-11,Modifica el Código Sanitario para reforzar las exigencias aplicables al etiquetado de productos alimenticios en materia de fecha de vencimiento,parlamentario,11,Salud,,Salud,sufijo_boletin,0,Salud,,,Salud,Salud,Salud,,rica,alta,,
18228-04,"Modifica la ley Nº 20.027, que establece normas para el financiamiento de estudios de educación superior, en materia de cobro de las deudas del Crédito con Aval del Estado",parlamentario,04,Educación,,Educación,sufijo_boletin,0,Educación,,,Educación | Ciencia y Tecnología,Educación | Ciencia y tecnología,Educación | Ciencia y Tecnología,,rica,alta,trayectoria_multitematica,
18229-11,Introduce la obligación de contar con desfibriladores externos automáticos en encuentros de fútbol no profesional,parlamentario,11,Salud,,Salud,sufijo_boletin,0,Salud,,,Salud,Salud,Salud,,rica,alta,,
18234-35,Establece el deber de implementar medidas de accesibilidad en la construcción y diseño de viviendas en beneficio de personas mayores,parlamentario,35,Personas Mayores y Discapacidad,,Personas Mayores y Discapacidad,sufijo_boletin,0,Personas mayores y discapacidad,,,Personas Mayores y Discapacidad,Personas mayores y discapacidad,Personas Mayores y Discapacidad,,rica,alta,,
18235-19,Impone a las plataformas de redes sociales la obligación de eliminar contenido que induzca a la realización de conductas extremas que pongan en riesgo la integridad o salud de las personas,parlamentario,19,Ciencia y Tecnología,,Ciencia y Tecnología,sufijo_boletin,0,Ciencia y tecnología,,,Ciencia y Tecnología,Ciencia y tecnología,Ciencia y Tecnología,,rica,alta,,
18230-13,"Reajusta el monto del ingreso mínimo mensual, así como de la asignación familiar y maternal y del subsidio familiar",ejecutivo,13,Trabajo y Seguridad Social,Hacienda,Hacienda,evento_cuenta_vs_sufijo,1,Economía y hacienda,,,Trabajo y Seguridad Social | Hacienda,Trabajo y seguridad social | Economía y hacienda,Trabajo y Seguridad Social,Ministerio de Hacienda | Ministerio de Trabajo y Previsión Social,rica,media,discrepancia_origen_evento_vs_sufijo | origen_transversal_con_comision_sustantiva | trayectoria_multitematica,Primer informe de comisión. Pasa a Comisión de Hacienda
18231-35,Establece el Día Nacional de la Teletón y el Día Nacional del Encuentro Familiar,ejecutivo,35,Personas Mayores y Discapacidad,,Personas Mayores y Discapacidad,sufijo_boletin,0,Personas mayores y discapacidad,,,Personas Mayores y Discapacidad,Personas mayores y discapacidad,Personas Mayores y Discapacidad,Ministerio de Desarrollo Social y Famili,rica,alta,,
18232-25,"Modifica la ley N° 21.659, sobre seguridad privada, para aumentar el plazo de presentación y pronunciamiento sobre los estudios de seguridad que dispone, y extiende la prórroga de vigencia de la última autorización del personal de seguridad privada que indica",ejecutivo,25,Seguridad Ciudadana,,Seguridad Ciudadana,sufijo_boletin,0,Seguridad,,,Seguridad Ciudadana,Seguridad,Seguridad Ciudadana,Ministerio de Seguridad Pública,rica,alta,,
18236-18,Fortalece la protección de las víctimas de violencia intrafamiliar y previene su revictimización,parlamentario,18,"Familia, Infancia y Adolescencia",,"Familia, Infancia y Adolescencia",sufijo_boletin,0,"Familia, infancia y adolescencia",,,"Familia, Infancia y Adolescencia | Mujeres y Equidad de Género","Familia, infancia y adolescencia | Mujeres y género","Familia, Infancia y Adolescencia | Mujeres y Equidad de Género",,utilizable,alta,trayectoria_multitematica,
18237-33,"Prorroga el plazo establecido en el artículo segundo transitorio de la ley N° 21.435, que reforma el Código de Aguas",parlamentario,33,Recursos Hídricos y Desertificación,,Recursos Hídricos y Desertificación,sufijo_boletin,0,Agua y recursos hídricos,,,Recursos Hídricos y Desertificación,Agua y recursos hídricos,Recursos Hídricos y Desertificación,,rica,alta,,
18238-25,Regula el uso de la fuerza por parte de Gendarmería de Chile,parlamentario,25,Seguridad Ciudadana,,Seguridad Ciudadana,sufijo_boletin,0,Seguridad,,,Seguridad Ciudadana,Seguridad,Seguridad Ciudadana,,rica,alta,,
