boletin,sequence,commission,topic_proxy,is_origin_proxy,is_transversal,source_type,first_seen_date,etapa,evidence_event,source_url
18452-02,1,Defensa Nacional,Defensa,1,0,sufijo_boletin,2026-07-08,destinación inicial,Código de destinación del boletín: 02,https://www.camara.cl/legislacion/ProyectosDeLey/tramitacion.aspx?prmID=19143&prmBOLETIN=18452-02
18474-11,1,Salud,Salud,1,0,sufijo_boletin,2026-07-08,destinación inicial,Código de destinación del boletín: 11,https://www.camara.cl/legislacion/ProyectosDeLey/tramitacion.aspx?prmID=19156&prmBOLETIN=18474-11
18475-06,1,"Gobierno Interior, Nacionalidad, Ciudadanía y Regionalización",Gobierno interior y descentralización,1,0,sufijo_boletin,2026-07-09,destinación inicial,Código de destinación del boletín: 06,https://www.camara.cl/legislacion/ProyectosDeLey/tramitacion.aspx?prmID=19158&prmBOLETIN=18475-06
18476-03,1,"Economía, Fomento, MIPYMES, Consumidores y Turismo","Economía, comercio y consumidores",1,0,sufijo_boletin,2026-07-09,destinación inicial,Código de destinación del boletín: 03,https://www.camara.cl/legislacion/ProyectosDeLey/tramitacion.aspx?prmID=19159&prmBOLETIN=18476-03
18477-07,1,"Constitución, Legislación, Justicia y Reglamento",Constitución y justicia,1,1,sufijo_boletin,2026-07-11,destinación inicial,Código de destinación del boletín: 07,https://www.camara.cl/legislacion/ProyectosDeLey/tramitacion.aspx?prmID=19157&prmBOLETIN=18477-07
18479-07,1,"Constitución, Legislación, Justicia y Reglamento",Constitución y justicia,1,1,sufijo_boletin,2026-07-13,destinación inicial,Código de destinación del boletín: 07,https://www.camara.cl/legislacion/ProyectosDeLey/tramitacion.aspx?prmID=19164&prmBOLETIN=18479-07
18480-07,1,"Constitución, Legislación, Justicia y Reglamento",Constitución y justicia,1,1,sufijo_boletin,2026-07-13,destinación inicial,Código de destinación del boletín: 07,https://www.camara.cl/legislacion/ProyectosDeLey/tramitacion.aspx?prmID=19170&prmBOLETIN=18480-07
18446-07,1,"Constitución, Legislación, Justicia y Reglamento",Constitución y justicia,1,1,sufijo_boletin,2026-07-14,destinación inicial,Código de destinación del boletín: 07,https://www.camara.cl/legislacion/ProyectosDeLey/tramitacion.aspx?prmID=19147&prmBOLETIN=18446-07
18465-03,1,"Economía, Fomento, MIPYMES, Consumidores y Turismo","Economía, comercio y consumidores",1,0,sufijo_boletin,2026-07-14,destinación inicial,Código de destinación del boletín: 03,https://www.camara.cl/legislacion/ProyectosDeLey/tramitacion.aspx?prmID=19148&prmBOLETIN=18465-03
18466-37,1,"Cultura, Patrimonio, Artes, Deportes y Recreación","Cultura, patrimonio y deporte",1,0,sufijo_boletin,2026-07-14,destinación inicial,Código de destinación del boletín: 37,https://www.camara.cl/legislacion/ProyectosDeLey/tramitacion.aspx?prmID=19149&prmBOLETIN=18466-37
18481-07,1,"Constitución, Legislación, Justicia y Reglamento",Constitución y justicia,1,1,sufijo_boletin,2026-07-14,destinación inicial,Código de destinación del boletín: 07,https://www.camara.cl/legislacion/ProyectosDeLey/tramitacion.aspx?prmID=19172&prmBOLETIN=18481-07
