"vote_id","boletin","fecha","minority_share_binary","binary_participation_share","spread_1d","midpoint_1d","gmp","apre"
"89409","17012-14","2026-07-14",0.37037,0.870968,0.200076207518578,0.130587056279182,0.681752562522888,0.42
"89410","17012-14","2026-07-14",0.345588,0.877419,-1.58473980426788,-0.834172606468201,0.815303802490234,0.659574468085106
"89411","17012-14","2026-07-14",0.079137,0.896774,0.189999997615814,1,0.602360129356384,0
"89421","18401-31","2026-07-15",0.491071,0.722581,-0.782278299331665,-0.629344344139099,0.869861602783203,0.927272727272727
"89470","18216-05","2026-07-21",0.409722,0.929032,1.1747020483017,0.174702048301697,0.954162180423737,0.983050847457627
"89471","18216-05","2026-07-21",0.076389,0.929032,0.189999997615814,1,0.608979821205139,0
"89472","18216-05","2026-07-21",0.305556,0.929032,0.662999331951141,0.365000367164612,0.864909052848816,0.863636363636364
"89473","18216-05","2026-07-21",0.395833,0.929032,0.586330711841583,0.0996846705675125,0.892930030822754,0.912280701754386
"89474","18216-05","2026-07-21",0.319444,0.929032,1.29516327381134,0.295163303613663,0.935427844524384,0.956521739130435
"89475","18216-05","2026-07-21",0.42069,0.935484,1.13184177875519,0.131841734051704,0.96634840965271,1
"89476","18216-05","2026-07-21",0.42069,0.935484,1.13184177875519,0.131841734051704,0.96634840965271,1
"89477","18216-05","2026-07-21",0.441379,0.935484,0.603967070579529,-0.0852058455348015,0.92742782831192,0.9375
"89478","18216-05","2026-07-21",0.4375,0.929032,1.04945051670074,-0.0494505502283573,0.972988545894623,0.968253968253968
"89479","18216-05","2026-07-21",0.441379,0.935484,0.603967070579529,-0.0852058455348015,0.92742782831192,0.9375
"89480","18216-05","2026-07-21",0.427586,0.935484,1.00936353206635,0.00936349667608738,0.965990304946899,0.967741935483871
"89481","18216-05","2026-07-21",0.427586,0.935484,1.00936353206635,0.00936349667608738,0.965990304946899,0.967741935483871
"89482","18216-05","2026-07-21",0.324138,0.935484,1.30759108066559,0.307591050863266,0.92454320192337,0.914893617021277
"89483","18216-05","2026-07-21",0.344828,0.935484,1.25971508026123,0.259715020656586,0.919805228710175,0.9
"89484","18216-05","2026-07-21",0.42069,0.935484,1.13184177875519,0.131841734051704,0.96634840965271,1
