deputy_id,deputy_name,district,servel_candidate_code,servel_candidate_name,electoral_party,electoral_pact,electoral_subpact,source_url,match_method,match_score,match_confidence
1189,Jaime Bassa Mercado,7,66007062,JAIME BASSA MERCADO,FRENTE AMPLIO,UNIDAD POR CHILE,,https://www.servel.cl/wp-content/uploads/2025/11/PRELIMINARES_DIPUTADOS.zip,district_exact_normalized_name,1.0000,high
1190,Enrique Bassaletti Riess,8,66008095,ENRIQUE BASSALETTI RIESS,PARTIDO REPUBLICANO DE CHILE,CAMBIO POR CHILE,,https://www.servel.cl/wp-content/uploads/2025/11/PRELIMINARES_DIPUTADOS.zip,district_exact_normalized_name,1.0000,high
1191,Valentina Becerra Peña,13,66013084,VALENTINA BECERRA PEÑA,PARTIDO REPUBLICANO DE CHILE,CAMBIO POR CHILE,,https://www.servel.cl/wp-content/uploads/2025/11/PRELIMINARES_DIPUTADOS.zip,district_exact_normalized_name,1.0000,high
1192,Lilian Betancurt Delgado,21,66021067,LILIAN ALEJANDRA BETANCURT DELGADO,PARTIDO DE LA GENTE,PARTIDO DE LA GENTE,,https://www.servel.cl/wp-content/uploads/2025/11/PRELIMINARES_DIPUTADOS.zip,district_fuzzy_name,0.8599,medium
1193,Patricio Briones Moller,20,66020085,PATRICIO ANTONIO BRIONES MOLLER,PARTIDO DE LA GENTE,PARTIDO DE LA GENTE,,https://www.servel.cl/wp-content/uploads/2025/11/PRELIMINARES_DIPUTADOS.zip,district_fuzzy_name,0.8708,medium
1194,Daniel Bustos Leal,18,66018073,DANIEL BUSTOS LEAL,PARTIDO REPUBLICANO DE CHILE,CAMBIO POR CHILE,,https://www.servel.cl/wp-content/uploads/2025/11/PRELIMINARES_DIPUTADOS.zip,district_exact_normalized_name,1.0000,high
1195,Carlos Carvajal Gallardo,2,66002056,CARLOS JOSE CARVAJAL GALLARDO,PARTIDO POR LA DEMOCRACIA,UNIDAD POR CHILE,,https://www.servel.cl/wp-content/uploads/2025/11/PRELIMINARES_DIPUTADOS.zip,district_fuzzy_name,0.8950,medium
1196,Priscilla Castillo Gerli,17,66017060,PRISCILLA CASTILLO GERLI,PARTIDO DEMOCRATA CRISTIANO,UNIDAD POR CHILE,,https://www.servel.cl/wp-content/uploads/2025/11/PRELIMINARES_DIPUTADOS.zip,district_exact_normalized_name,1.0000,high
1197,Carlos Chandía Alarcón,19,66019092,CARLOS CHANDIA ALARCON,RENOVACION NACIONAL,CHILE GRANDE Y UNIDO,,https://www.servel.cl/wp-content/uploads/2025/11/PRELIMINARES_DIPUTADOS.zip,district_exact_normalized_name,1.0000,high
1198,Paz Charpentier Rajcevich,20,66020111,PAZ CHARPENTIER RAJCEVICH,PARTIDO REPUBLICANO DE CHILE,CAMBIO POR CHILE,,https://www.servel.cl/wp-content/uploads/2025/11/PRELIMINARES_DIPUTADOS.zip,district_exact_normalized_name,1.0000,high
1199,Jaime Coloma Álamos,14,66014082,JAIME COLOMA ALAMOS,UNION DEMOCRATA INDEPENDIENTE,CHILE GRANDE Y UNIDO,,https://www.servel.cl/wp-content/uploads/2025/11/PRELIMINARES_DIPUTADOS.zip,district_exact_normalized_name,1.0000,high
1200,Cristian Contreras Radovic,8,66008077,CRISTIAN CONTRERAS RADOVIC,PARTIDO DE LA GENTE,PARTIDO DE LA GENTE,,https://www.servel.cl/wp-content/uploads/2025/11/PRELIMINARES_DIPUTADOS.zip,district_exact_normalized_name,1.0000,high
