deputy_id,deputy_name,valid_from,valid_to,party,caucus,alignment,basis,confidence,date_precision,source_url,source_note,official_snapshot_conflict
1174,Marco Antonio Sulantay Olivares,2026-03-11,,Unión Demócrata Independiente,Unión Demócrata Independiente,oficialismo,current_snapshot_assumed_stable,provisional,term_assumption,https://www.camara.cl/diputados/detalle/biografia.aspx?prmId=1174,Sin cambio 2026 documentado todavía; se validará contra afiliación electoral de 2025.,0
1175,Cristián Tapia Ramos,2026-03-11,,Independientes,Partido Por la Democracia e Independientes,oposicion,current_snapshot_assumed_stable,provisional,term_assumption,https://www.camara.cl/diputados/detalle/biografia.aspx?prmId=1175,Sin cambio 2026 documentado todavía; se validará contra afiliación electoral de 2025.,0
1176,Hotuiti Teao Drago,2026-03-11,,Independientes,Unión Demócrata Independiente,oficialismo,current_snapshot_assumed_stable,provisional,term_assumption,https://www.camara.cl/diputados/detalle/biografia.aspx?prmId=1176,Sin cambio 2026 documentado todavía; se validará contra afiliación electoral de 2025.,0
1177,Carolina Tello Rojas,2026-03-11,,Frente Amplio,Frente Amplio,oposicion,current_snapshot_assumed_stable,provisional,term_assumption,https://www.camara.cl/diputados/detalle/biografia.aspx?prmId=1177,Sin cambio 2026 documentado todavía; se validará contra afiliación electoral de 2025.,0
1178,Héctor Ulloa Aguilera,2026-03-11,,Independientes,Partido Por la Democracia e Independientes,oposicion,current_snapshot_assumed_stable,provisional,term_assumption,https://www.camara.cl/diputados/detalle/biografia.aspx?prmId=1178,Sin cambio 2026 documentado todavía; se validará contra afiliación electoral de 2025.,0
1180,Consuelo Veloso Ávila,2026-03-11,,Frente Amplio,Frente Amplio,oposicion,current_snapshot_assumed_stable,provisional,term_assumption,https://www.camara.cl/diputados/detalle/biografia.aspx?prmId=1180,Sin cambio 2026 documentado todavía; se validará contra afiliación electoral de 2025.,0
1181,Nelson Venegas Salazar,2026-03-11,,Partido Socialista,"Socialista, Liberal, Radical e Independientes",oposicion,current_snapshot_assumed_stable,provisional,term_assumption,https://www.camara.cl/diputados/detalle/biografia.aspx?prmId=1181,Sin cambio 2026 documentado todavía; se validará contra afiliación electoral de 2025.,0
1182,Sebastián Videla Castillo,2026-03-11,,Independientes,"Socialista, Liberal, Radical e Independientes",oposicion,current_snapshot_assumed_stable,provisional,term_assumption,https://www.camara.cl/diputados/detalle/biografia.aspx?prmId=1182,Sin cambio 2026 documentado todavía; se validará contra afiliación electoral de 2025.,0
1183,Flor Weisse Novoa,2026-03-11,,Unión Demócrata Independiente,Unión Demócrata Independiente,oficialismo,current_snapshot_assumed_stable,provisional,term_assumption,https://www.camara.cl/diputados/detalle/biografia.aspx?prmId=1183,Sin cambio 2026 documentado todavía; se validará contra afiliación electoral de 2025.,0
1184,Roberto Celedón Fernández,2026-03-11,,Independientes,Frente Amplio,oposicion,current_snapshot_assumed_stable,provisional,term_assumption,https://www.camara.cl/diputados/detalle/biografia.aspx?prmId=1184,Sin cambio 2026 documentado todavía; se validará contra afiliación electoral de 2025.,0
1186,Ignacio Achurra Díaz,2026-03-11,,Frente Amplio,Frente Amplio,oposicion,current_snapshot_assumed_stable,provisional,term_assumption,https://www.camara.cl/diputados/detalle/biografia.aspx?prmId=1186,Sin cambio 2026 documentado todavía; se validará contra afiliación electoral de 2025.,0
1187,Carlo Arqueros Pizarro,2026-03-11,,Partido Republicano,Comité Partido Republicano,oficialismo,current_snapshot_assumed_stable,provisional,term_assumption,https://www.camara.cl/diputados/detalle/biografia.aspx?prmId=1187,Sin cambio 2026 documentado todavía; se validará contra afiliación electoral de 2025.,0
1188,Marcos Barraza Gómez,2026-03-11,,Partido Comunista,Comité Comunista e Independientes,oposicion,current_snapshot_assumed_stable,provisional,term_assumption,https://www.camara.cl/diputados/detalle/biografia.aspx?prmId=1188,Sin cambio 2026 documentado todavía; se validará contra afiliación electoral de 2025.,0
1189,Jaime Bassa Mercado,2026-03-11,,Frente Amplio,Frente Amplio,oposicion,current_snapshot_assumed_stable,provisional,term_assumption,https://www.camara.cl/diputados/detalle/biografia.aspx?prmId=1189,Sin cambio 2026 documentado todavía; se validará contra afiliación electoral de 2025.,0
1190,Enrique Bassaletti Riess,2026-03-11,,Independientes,Comité Partido Republicano,oficialismo,current_snapshot_assumed_stable,provisional,term_assumption,https://www.camara.cl/diputados/detalle/biografia.aspx?prmId=1190,Sin cambio 2026 documentado todavía; se validará contra afiliación electoral de 2025.,0
1191,Valentina Becerra Peña,2026-03-11,,Partido Republicano,Comité Partido Republicano,oficialismo,current_snapshot_assumed_stable,provisional,term_assumption,https://www.camara.cl/diputados/detalle/biografia.aspx?prmId=1191,Sin cambio 2026 documentado todavía; se validará contra afiliación electoral de 2025.,0
1192,Lilian Betancurt Delgado,2026-03-11,,Partido de la Gente,Comité Partido de la Gente,no_alineado,current_snapshot_assumed_stable,provisional,term_assumption,https://www.camara.cl/diputados/detalle/biografia.aspx?prmId=1192,Sin cambio 2026 documentado todavía; se validará contra afiliación electoral de 2025.,0
1193,Patricio Briones Moller,2026-03-11,,Partido de la Gente,Comité Partido de la Gente,no_alineado,current_snapshot_assumed_stable,provisional,term_assumption,https://www.camara.cl/diputados/detalle/biografia.aspx?prmId=1193,Sin cambio 2026 documentado todavía; se validará contra afiliación electoral de 2025.,0
1194,Daniel Bustos Leal,2026-03-11,,Partido Republicano,Comité Partido Republicano,oficialismo,current_snapshot_assumed_stable,provisional,term_assumption,https://www.camara.cl/diputados/detalle/biografia.aspx?prmId=1194,Sin cambio 2026 documentado todavía; se validará contra afiliación electoral de 2025.,0
1195,Carlos Carvajal Gallardo,2026-03-11,,Independientes,Partido Por la Democracia e Independientes,oposicion,current_snapshot_assumed_stable,provisional,term_assumption,https://www.camara.cl/diputados/detalle/biografia.aspx?prmId=1195,Sin cambio 2026 documentado todavía; se validará contra afiliación electoral de 2025.,0
