"diputado_id","diputado_nombre","dimension_1_z_early","rank_aligned_early","binary_votes_selected_early","dimension_1_z_late","rank_aligned_late","binary_votes_selected_late","comparison","delta_z_late_minus_early","abs_delta_z","rank_change_late_minus_early","abs_rank_change"
"1177","Carolina Tello Rojas",1.28902473937215,141,133,1.26762698529942,127,130,"raw_halves",-0.0213977540727304,0.0213977540727304,-14,14
"1205","Carlos Cuadrado Prats",0.917396651378371,114,128,0.896256306225476,114,114,"raw_halves",-0.0211403451528956,0.0211403451528956,0,0
"1171","Emilia Schneider Videla",1.28059491613056,140,132,1.2989199518693,131,135,"raw_halves",0.0183250357387406,0.0183250357387406,-9,9
"1201","Flor Contreras Vivallo",0.193050410952171,80,133,0.176161227374314,85,128,"raw_halves",-0.0168891835778568,0.0168891835778568,5,5
"1110","Carlos Bianchi Chelech",0.705201493705006,105,123,0.715186989596389,102,128,"raw_halves",0.0099854958913832,0.0099854958913832,-3,3
"1178","Héctor Ulloa Aguilera",0.735027881790655,106,125,0.742986978443849,105,116,"raw_halves",0.00795909665319394,0.00795909665319394,-1,1
"1038","Marcos Ilabaca Cerda",1.03775521622906,121,97,1.03292759864783,116,130,"raw_halves",-0.00482761758123562,0.00482761758123562,-5,5
"1148","Javiera Morales Alvarado",1.1166972835351,124,73,NA,NA,14,"raw_halves",NA,NA,NA,NA
"1107","María Francisca Bello Campos",NA,NA,0,NA,NA,0,"raw_halves",NA,NA,NA,NA
"1082","Cristóbal Urruticoechea Ríos",-2.35866530728153,1,67,-0.662913918906107,41,90,"cap20_halves",1.69575138837543,1.69575138837543,40,40
"1212","Erich Grohs Marín",-2.34345544123557,5,78,-0.675543502389787,36,103,"cap20_halves",1.66791193884578,1.66791193884578,31,31
"1215","Álvaro Jofré Cáceres",-2.34347075943905,3,78,-0.697933264422178,35,113,"cap20_halves",1.64553749501687,1.64553749501687,32,32
"1223","Hans Marowski Cuevas",-2.3424507668896,6,78,-0.69925806783858,34,95,"cap20_halves",1.64319269905102,1.64319269905102,28,28
"1228","Paulina Muñoz Minte",-2.3434705374361,4,78,-0.711183575618926,33,112,"cap20_halves",1.63228696181717,1.63228696181717,29,29
"1217","Pier Karlezi Hazleby",-2.35102563079702,2,76,-0.730525164166094,32,98,"cap20_halves",1.62050046663093,1.62050046663093,30,30
"1234","Mario Olavarría Rodríguez",-1.57231354548259,7,60,-0.526370534591954,59,79,"cap20_halves",1.04594301089064,1.04594301089064,52,52
"1146","José Carlos Meza Pereira",-0.719700438601194,58,70,-1.4488837915555,1,95,"cap20_halves",-0.729183352954303,0.729183352954303,-57,57
"1191","Valentina Becerra Peña",-0.750634287897598,30,78,-1.4488837915555,2,102,"cap20_halves",-0.698249503657898,0.698249503657898,-28,28
"1225","Cristian Menchaca Pinochet",-0.750634287897598,35,78,-1.44407083178361,3,99,"cap20_halves",-0.693436543886012,0.693436543886012,-32,32
"1100","Cristián Araya Lerdo de Tejada",-0.750634287897598,26,78,-1.43866472646863,4,107,"cap20_halves",-0.688030438571031,0.688030438571031,-22,22
"1218","José Antonio Kast Adriasola",-0.736147568707824,52,77,-1.42335842657387,12,109,"cap20_halves",-0.687210857866044,0.687210857866044,-40,40
"1245","Alejandro Riquelme Ducci",-0.750634287897598,37,78,-1.42758434153184,5,100,"cap20_halves",-0.676950053634246,0.676950053634246,-32,32
"1220","Leandro Kunstmann Collado",-0.749159189302572,49,77,-1.42335842657387,13,109,"cap20_halves",-0.674199237271295,0.674199237271295,-36,36
"1165","Agustín Romero Leiva",-0.750621716980608,42,78,-1.42335859842539,11,108,"cap20_halves",-0.672736881444786,0.672736881444786,-31,31
"1190","Enrique Bassaletti Riess",-0.750634287897598,29,78,-1.42336401174847,6,109,"cap20_halves",-0.672729723850874,0.672729723850874,-23,23
"1247","Javiera Rodríguez Pascual",-0.750634287897598,38,78,-1.42336306656508,8,109,"cap20_halves",-0.67272877866748,0.67272877866748,-30,30
"1194","Daniel Bustos Leal",-0.750634287897598,31,78,-1.42336306656508,7,109,"cap20_halves",-0.67272877866748,0.67272877866748,-24,24
"1150","Benjamín Moreno Bascur",-0.750634287897598,27,78,-1.42335980138608,10,109,"cap20_halves",-0.67272551348848,0.67272551348848,-17,17
"1221","Benjamín Lorca Inzunza",-0.750634287897598,34,78,-1.42335842657387,14,109,"cap20_halves",-0.672724138676269,0.672724138676269,-20,20
"1216","Stephanie Jéldrez Ortiz",-0.750533110053565,46,77,-1.42319533947539,16,108,"cap20_halves",-0.672662229421825,0.672662229421825,-30,30
"1262","Diego Vergara Rodríguez",-0.750634287897598,40,78,-1.42319533947539,17,108,"cap20_halves",-0.672561051577791,0.672561051577791,-23,23
