boletin,author_order,author_id,author_name,author_chamber
18236-18,0,1191,Valentina Becerra Peña,Diputado
18236-18,0,1228,Paulina Muñoz Minte,Diputado
18236-18,0,1231,Ximena Naranjo Pinto,Diputado
18236-18,0,1247,Javiera Rodríguez Pascual,Diputado
18236-18,0,1255,Eileen Urqueta Rojas,Diputado
18237-33,0,1105,Héctor Barría Angulo,Diputado
18237-33,0,1107,María Francisca Bello Campos,Diputado
18237-33,0,1114,Félix Bugueño Sotelo,Diputado
18237-33,0,1117,Nathalie Castillo Rojas,Diputado
18237-33,0,1177,Carolina Tello Rojas,Diputado
18237-33,0,1180,Consuelo Veloso Ávila,Diputado
18237-33,0,1194,Daniel Bustos Leal,Diputado
18237-33,0,1206,Carolina Cucumides Calderón,Diputado
18237-33,0,1255,Eileen Urqueta Rojas,Diputado
18237-33,0,872,Jaime Mulet Martínez,Diputado
18238-25,0,1324,Karim Bianchi Retamales,Senador
18238-25,0,1330,Iván Flores García,Senador
18238-25,0,1337,Paulina Núñez Urrutia,Senador
18238-25,0,1339,Gastón Saavedra Chandía,Senador
18238-25,0,1344,Matías Walker Prieto,Senador
18239-36,0,1120,Manuel José Ossandón Irarrázabal,Senador
18239-36,0,1332,María José Gatica Bertin,Senador
18239-36,0,1342,Enrique Van Rysselberghe Herrera,Senador
