diputado_id,diputado_nombre,group_type,scope,min_chamber_binary_minority_share,comparisons,matches,divergences,agreement_pct,group_names_observed
1229,Javier Muñoz Riquelme,party,minority_ge_20,0.20,224,211,13,94.1964,Partido Demócrata Cristiano
1230,Alex Nahuelquin Nahuelquin,caucus,all,0.00,345,319,26,92.4638,Comité Partido de la Gente
1230,Alex Nahuelquin Nahuelquin,caucus,minority_ge_05,0.05,253,227,26,89.7233,Comité Partido de la Gente
1230,Alex Nahuelquin Nahuelquin,caucus,minority_ge_10,0.10,242,216,26,89.2562,Comité Partido de la Gente
1230,Alex Nahuelquin Nahuelquin,caucus,minority_ge_20,0.20,224,198,26,88.3929,Comité Partido de la Gente
1230,Alex Nahuelquin Nahuelquin,party,all,0.00,359,330,29,91.9220,Partido de la Gente
1230,Alex Nahuelquin Nahuelquin,party,minority_ge_05,0.05,267,238,29,89.1386,Partido de la Gente
1230,Alex Nahuelquin Nahuelquin,party,minority_ge_10,0.10,256,227,29,88.6719,Partido de la Gente
1230,Alex Nahuelquin Nahuelquin,party,minority_ge_20,0.20,237,208,29,87.7637,Partido de la Gente
1231,Ximena Naranjo Pinto,caucus,all,0.00,364,346,18,95.0549,Unión Demócrata Independiente
1231,Ximena Naranjo Pinto,caucus,minority_ge_05,0.05,269,251,18,93.3086,Unión Demócrata Independiente
1231,Ximena Naranjo Pinto,caucus,minority_ge_10,0.10,258,240,18,93.0233,Unión Demócrata Independiente
1231,Ximena Naranjo Pinto,caucus,minority_ge_20,0.20,239,222,17,92.8870,Unión Demócrata Independiente
1231,Ximena Naranjo Pinto,party,all,0.00,0,0,0,,Independientes
1231,Ximena Naranjo Pinto,party,minority_ge_05,0.05,0,0,0,,Independientes
1231,Ximena Naranjo Pinto,party,minority_ge_10,0.10,0,0,0,,Independientes
1231,Ximena Naranjo Pinto,party,minority_ge_20,0.20,0,0,0,,Independientes
1232,Cristian Neira Martínez,caucus,all,0.00,360,357,3,99.1667,Comité Partido Republicano
1232,Cristian Neira Martínez,caucus,minority_ge_05,0.05,267,264,3,98.8764,Comité Partido Republicano
1232,Cristian Neira Martínez,caucus,minority_ge_10,0.10,256,253,3,98.8281,Comité Partido Republicano
1232,Cristian Neira Martínez,caucus,minority_ge_20,0.20,237,234,3,98.7342,Comité Partido Republicano
1232,Cristian Neira Martínez,party,all,0.00,360,357,3,99.1667,Partido Republicano
1232,Cristian Neira Martínez,party,minority_ge_05,0.05,267,264,3,98.8764,Partido Republicano
1232,Cristian Neira Martínez,party,minority_ge_10,0.10,256,253,3,98.8281,Partido Republicano
1232,Cristian Neira Martínez,party,minority_ge_20,0.20,237,234,3,98.7342,Partido Republicano
1233,Ricardo Neumann Bertín,caucus,all,0.00,357,347,10,97.1989,Unión Demócrata Independiente
1233,Ricardo Neumann Bertín,caucus,minority_ge_05,0.05,268,259,9,96.6418,Unión Demócrata Independiente
1233,Ricardo Neumann Bertín,caucus,minority_ge_10,0.10,257,250,7,97.2763,Unión Demócrata Independiente
1233,Ricardo Neumann Bertín,caucus,minority_ge_20,0.20,238,234,4,98.3193,Unión Demócrata Independiente
1233,Ricardo Neumann Bertín,party,all,0.00,357,346,11,96.9188,Unión Demócrata Independiente
1233,Ricardo Neumann Bertín,party,minority_ge_05,0.05,268,258,10,96.2687,Unión Demócrata Independiente
1233,Ricardo Neumann Bertín,party,minority_ge_10,0.10,257,249,8,96.8872,Unión Demócrata Independiente
1233,Ricardo Neumann Bertín,party,minority_ge_20,0.20,238,233,5,97.8992,Unión Demócrata Independiente
1234,Mario Olavarría Rodríguez,caucus,all,0.00,291,284,7,97.5945,Unión Demócrata Independiente
1234,Mario Olavarría Rodríguez,caucus,minority_ge_05,0.05,221,214,7,96.8326,Unión Demócrata Independiente
1234,Mario Olavarría Rodríguez,caucus,minority_ge_10,0.10,213,206,7,96.7136,Unión Demócrata Independiente
1234,Mario Olavarría Rodríguez,caucus,minority_ge_20,0.20,202,195,7,96.5347,Unión Demócrata Independiente
1234,Mario Olavarría Rodríguez,party,all,0.00,292,285,7,97.6027,Unión Demócrata Independiente
1234,Mario Olavarría Rodríguez,party,minority_ge_05,0.05,222,215,7,96.8468,Unión Demócrata Independiente
1234,Mario Olavarría Rodríguez,party,minority_ge_10,0.10,214,207,7,96.7290,Unión Demócrata Independiente
1234,Mario Olavarría Rodríguez,party,minority_ge_20,0.20,203,196,7,96.5517,Unión Demócrata Independiente
1235,Javier Olivares Avendaño,caucus,all,0.00,349,286,63,81.9484,Comité Partido de la Gente
1235,Javier Olivares Avendaño,caucus,minority_ge_05,0.05,254,192,62,75.5906,Comité Partido de la Gente
1235,Javier Olivares Avendaño,caucus,minority_ge_10,0.10,243,181,62,74.4856,Comité Partido de la Gente
1235,Javier Olivares Avendaño,caucus,minority_ge_20,0.20,225,164,61,72.8889,Comité Partido de la Gente
1235,Javier Olivares Avendaño,party,all,0.00,362,298,64,82.3204,Partido de la Gente
1235,Javier Olivares Avendaño,party,minority_ge_05,0.05,267,204,63,76.4045,Partido de la Gente
1235,Javier Olivares Avendaño,party,minority_ge_10,0.10,256,193,63,75.3906,Partido de la Gente
1235,Javier Olivares Avendaño,party,minority_ge_20,0.20,237,175,62,73.8397,Partido de la Gente
1236,Paula Olmos Contreras,caucus,all,0.00,282,263,19,93.2624,Comité Partido de la Gente
1236,Paula Olmos Contreras,caucus,minority_ge_05,0.05,209,190,19,90.9091,Comité Partido de la Gente
1236,Paula Olmos Contreras,caucus,minority_ge_10,0.10,201,183,18,91.0448,Comité Partido de la Gente
1236,Paula Olmos Contreras,caucus,minority_ge_20,0.20,187,169,18,90.3743,Comité Partido de la Gente
1236,Paula Olmos Contreras,party,all,0.00,289,265,24,91.6955,Partido de la Gente
1236,Paula Olmos Contreras,party,minority_ge_05,0.05,216,192,24,88.8889,Partido de la Gente
1236,Paula Olmos Contreras,party,minority_ge_10,0.10,208,185,23,88.9423,Partido de la Gente
1236,Paula Olmos Contreras,party,minority_ge_20,0.20,193,170,23,88.0829,Partido de la Gente
